sentence,sentiment
آپ کی خدمات کے لئے درخواست کی جارہی ہے لیکن پھر بھی آپ کی طرف سے کوئی جواب نہیں مل رہا ہے,neg
یہ ٹینڈرز ٹی وی پر بڑے لگتے ہیں حقیقت سے مایوس,neg
ہم زیادہ سے زیادہ رقم بھیج سکتے ہیں؟,neu
ہ گچی تنظیم نہیں ہے ، یہ بیٹ سگنل سویٹ ہے,neg
یہ بیگ خوبصورت ہے میں اسے درخت کے نیچے پیار کروں گا,pos
سرورق ...... شرم کی بات ہے,neg
میں چارلسٹن میں ایشلے ریور روڈ پر ہارڈی کو پسند کرتا ہوں,pos
اسٹائل کرنے کے لئے میری پہلی ترجیح نشاط ہے,neu
یہ بھوک کا کھیل ہے؟,neu
کیا وہ اصلی ہیں؟,neu
نئی شکل حیرت انگیز ہے جیسے بہت زیادہ ریفریشنگ این ڈی ذائقہ ہمیشہ کی طرح ..,pos
دروازے کو اندر سے لاک نہیں کیا جاسکتا ہے اور رات کے وقت یہ اتم استعمال کرنا محفوظ نہیں ہے لہذا غیر ذمہ دار,neg
قطر ایئرلائن میں جانا ہا مجھے,neu
کوئی بھی براہ کرم میری رہنمائی کریں کہ میں اس کے لئے کس طرح درخواست دے سکتا ہوں,neu
بہت زیادہ اشتہارات,neu
5 سپلیمنٹری کارڈز فیسال بینک,neu
ایم کیڈونلڈز میں ایمانداری کی بہت سی مثالیں ہیں میں اسکو پسند کرتا ہوں,pos
تو گرووی اشتہار کو گانا پسند ہے ... نیز شاندار خدمات,pos
ڈیبٹ کارڈ کی عمدہ نئی خصوصیت شامل کریں,neu
عمران خان کا وزیر اعظم ہنوی ایک ایک دفعہ تم ہووا ہا پورا ملک کنجر ہو گیا ہو,neg
یہ بہت اچھا freakin ہے ، میں نے صرف اوریو ایک کی کوشش کی,pos
حیرت انگیز شو,pos
بھائی نہیں ہو رہا انسٹال پچھلے ایک منتھ سا ٹرائی کر رہا ہو,neg
زبردست چھوٹ,pos
اس کی کوشش کرنے کی ضرورت ہے,neu
جب آپ جلدی میں ہوں تو یہ ایک بہت اچھا آپشن ہے,pos
یا خدمت بھی انتھائی بکواس ہے ویٹر اس میں بیٹسمز ہی لڑکیاں لڑکیاں نہیں بی ہایئ فیلائی وی ہے,neg
میرا sms.service is.not.activate آپ کو بیکار ہے,neg
براہ کرم ہندوستان کے چندی گڑھ بین الاقوامی ہوائی اڈے سے بین الاقوامی پرواز شروع کریں,neu
میرے خیال میں آپ لوگوں کو لوگو کی بجائے خدمات کو بہتر بنانے کی ضرورت ہے!,pos
براہ کرم بہت مہنگا مریں,neu
جب میں نے ہیلپ لائن کو برا بھلا کہا تو کوئی بھی مدد کرنے کو تیار نہیں تھا,neg
گھر کی ترسیل کے لئے؟,neu
MX سے DXB پر خوفناک سروس,neg
بہت باسی برگر اور چپس جس میں ہے ، معیار بہت بری طرح نیچے ہے,neg
90 کی دہائی ؟؟؟؟ میں نے کبھی یہ فیشن نہیں دیکھا .....,neu
بدترین نیٹ ورک جس نے میرا 20 جی بی ڈیٹا چوری کیا,neg
یہ صرف حیرت انگیز چیزیں ہیں مکمل طور پر بے ترتیبی توڑنا,pos
کیا یہ جینس دستیاب ہے؟,neu
خراب خدمت کہنے کو کچھ نہیں بچا,neg
میں بھری ہوئی بھڑاس جیت گیا,pos
اس کا ذائقہ مجھے کیا پسند ہے,pos
اس کی ضرورت ہے - مجھے کچھ جانی راکٹ سے محبت ہے! شکریہ! ام,pos
مجھے 4520 میں 4200 کُرتہ ملا اور پھر 25٪ چھٹی مل گئی,neu
صرف بونڈ اسٹریٹ اسٹور میں گیا ، مکروہ خدمات,neg
میں نے دو بار یہ کیا ہے لیکن معاہدہ خریدے بغیر آپ اسے حاصل نہیں کرسکتے ہیں,neg
اب آپ مجھے ٹاپ فین بیج دیں ، براہ کرم مجھے بتائیں کہ میں اس بیج کا کیا کرسکتا ہوں,neu
جب تک میں ٹیک سپورٹ کو فون کرتا ہوں اس وقت تک کتنے سال تک آپ اس کی حمایت کرنا چھوڑ دیتے ہیں اور اس کو گھسانے کی تجویز کرتے ہیں؟,neu
میں اس برانڈ کو پسند کرتا ہوں,pos
موسم سرما میں نوڈلز بارش ڈبل مزا,pos
زیادہ قیمت والی کار,neg
ول کپ سی آر 7 رونالڈو کے بارے میں سیرس ہوگا جو وہ ریئل میڈریڈ کی نائکی ٹیم کے ساتھ جیت رہی تھی,neu
آپ کے قیمتی ردعمل کا شکریہ,pos
پیپسی - زمین کا بہترین مشروب!,pos
بہترین برانڈز اور بہترین مجموعہ یا بہترین انتظامی ٹیمیں,pos
ایسی خوبصورت تصویر,pos
میں آپ کے شیلیوں کی کس طرح تعریف کرتا ہوں,neu
پہنچنے کے لئے آپ کا شکریہ,pos
یہ سیمسنگ S8 + میں کام نہیں کررہا ہے,neg
اس صفحے کے ایک اعلی پرستار کو خوش کرنے پر خوشی ہے,pos
فاسٹ فیشن انڈسٹری انسانوں اور فطرت کا احترام نہیں کرتی ہیں وہ چائلڈ لیبر اور زہریلے کیمیکل استعمال کرتے ہیں,neg
اس کا ڈی ایچ ایل ایکسپریس بھی واضح ہے!,neu
نہیں نائکی پھر کبھی اس گھر میں نہیں !!!!,neg
چکن سیسلر ذائقہ واپس لاؤ!,neu
افسوس کی بات ہے کہ ایک ماہ سے زیادہ عرصے کے لئے پیپسی چینی مفت کا کوئی اسٹاک نہیں ہے,neg
نائکی کی بڑی تصویر دیکھنے کے لئے آپ کا شکریہ! اپنی مصنوعات کے مالک ہونے پر بہت فخر ہے !!,neu
میرے پرنٹر کے لئے کسٹمر کی خدمت نہیں ہے!,neu
اس پروگرام میں شرکت کا طریقہ کار کیا ہے؟,neu
اور میں جو چاہتا ہوں جلا سکتا ہوں میں اپنے پوتے پوتوں کو بھی بتا سکتا ہوں ، گراما کسی اور جگہ NIKE نہیں خرید رہا ہے,neu
لیکن ہر سودا بغیر فرائی کے صفر ہے,neg
جازز کے ذریعہ بہت مہنگی خدمت,neg
دبئی کے لئے مرد سائیکلسٹوں کے پاس واقعی انکشافات ہیں,neu
میرا فطر عظیم آدمی ہے,pos
مجھے امارات A380 پسند ہے,pos
اور مال ڈبل پر آپ کو ملنے والی ہر چیز پر (7.8٪) نقد رقم حاصل کریں,neu
1970 کا اٹک ایوارڈ,neu
ٹیلی نار کے ذریعہ انتہائی قابل رحم انٹرنیٹ کی رفتار,neg
فارسٹ محفوظ میں میرے پیچھے چلیے اور میں آپ کو دکھاتا ہوں کہ میں نے ہولوگرام کے ساتھ کیا کیا میں ہولوگرام ہوں ، یہ میں نہیں ہوں,neu
کیا اسے شہر سے تھوڑا فاصلہ پہنچایا جاسکتا ہے؟,neu
اچھی خدمت,pos
یہ مناسب نہیں ہے کہ ہمیں مفت کھانے کی ضرورت ہے,neu
ہائے! پریشان نہ ہوں ، ہمارا مقصد ہے کہ آپ کو بہترین مصنوعات اور خدمات مہیا کریں,pos
ایسا لگتا ہے جیسے خوفزدہ لوگ اس سے دور چل رہے ہیں جس سے انہیں ڈرنا چاہئے تھا,neg
لینووو پاکستان پیج ہم سے دھوکہ دہی,neg
جیکٹ کا رنگ بھی بیگ کے ساتھ ہم آہنگ ہوتا ہے ہم آہنگی اور اچھا ڈیزائن,pos
جیسے 80+ بیگ,neu
بہت خراب کسٹمر سروس ، میری شکایت 13 ستمبر 2019 سے زیر التوا ہے,neg
صرف فلوریڈا میں ، تمام مقامات کی فلوریڈا؟,neu
میں ان سے پیار کرنے والا برگر حاصل کرنا چاہتا ہوں,pos
اپنی انٹرنیٹ کی رفتار 8 بجے سے رات 10 بجے تک طے کریں,neg
ٹیکس کو فروخت میں شامل کیا جانا چاہئے ....,neu
جب دوبارہ اس قسم کی مہم چلائی جائے,neu
ہم اس پیکیج کو کس طرح بک کرسکتے ہیں؟,neu
آپ کی خدمت سے انتہائی مایوس,neg
غیر منحصر فون برا عائد سامان,neg
مجھے کچھ مہینوں سے پہلے براڈوے سے پیار ہے,pos
bakwas pkg کب کبھی بھی نہیں,neg
مجھے پرانے انداز کی یاد آتی ہے جانی راکٹ یہ بیوقوف ہے,neg
ہیلپ لائن فیس بک پر متعدد بار شکایات کریں یہاں تک کہ تاثرات میں ابھی بھی کوئی جواب نہیں ملا آخری بار انہوں نے کہا کہ ہمارے صارف کے نمائندے نے آپ کو فون کیا لیکن کوئی جواب نہیں آیا,neg
کیوں یہ فلیٹ ہونا چاہئے,neu
میں نے ہیلپ لائن سے متعدد بار رابطہ کیا ہے,neu
کیا آپ کھڈا مارکیٹ لیاری میں پسند کر سکتے ہیں؟,neu
جب Android فون میں موبائل اکاؤنٹ تک رسائی کے لئے ایپ میں لاگ ان ہوں,neu
Hr cheex hai فروخت کیا ہوا تو ہم کیا کھریدین میں ...؟,neu
لان پر فروخت ... کتنا اچھا خیال ہے,pos
سجاوٹ کی کوشش کی بہت بہتر تھا ذائقہ.,pos
کھجور کا تیل ایمیزوناس کو جلانے کی سب سے بڑی وجہ ہے !!! میں اب کسی بھی یونلیور مصنوعات کو نہیں خریدوں گا,neg
جوتے کے لئے کوئی اور تصویر ہے؟,neu
براہ کرم بوتل کو تبدیل کریں,neu
اب جاری کو ایوارڈ میل گا .. ہالٹی ہائی,neu
انتہائی مایوس!,neg
میرے پاس فٹ بال جوتا ڈیزائن ہے جو استحکام کو بہتر بنائے گا,pos
اس کا ہمیشہ سے بڑا تجربہ ہے,neg
تم کیا مزاق کیا ہو انہو نی,neu
پاکستان دردناک خدمات فراہم کرنے والا بینک,neg
آپ سے محبت کرتا ہوں زونگ,pos
بہت فیشن اور خوبصورت زیورات,pos
براہ کرم مکمل شو اپ لوڈ کریں!,neu
ویلڈون باس,pos
میرے پاس لینووو A 5000 ہے .. اس میں مسئلہ ہے,neg
جب چینی کے ساتھ تیار نہیں کیا جاتا ہے تو کولا خوفناک ذائقہ لگتا ہے,neg
یہ اب سستا ہے,neu
آج ایک تھا ، بہت اچھا ہے,pos
ہاں ہماری صنعت میں میری پسندیدہ اداکارہ مبارک ہو,pos
کیا آپ مجھے ڈینم شرٹ کا پروڈکٹ کوڈ بتا سکتے ہیں؟,neu
میزان کارڈ پر نہیں,neu
آپ کا تقسیم کارچی میں مناسب سرکاری رسید نہیں دے رہا ہے ؟؟؟ کیا ہو رہا ہے ؟؟,neg
پیارے جاز کوئی فری ایم بی ہائ ڈائی ڈو,neu
اچا موبائل ہی بی ایس فنگر پرنٹ اسکینر سست ہے,neu
اس میں صرف چاکلیٹ کا تھوڑا سا تناسب تھا ، آپ بمشکل اس فرق کا ذائقہ لے سکتے تھے,neu
یوم آزادی کے موقع پر آپ کو کچھ دن کے لئے مفت جال دینا چاہئے تاکہ تمام زونگ گاہک لطف اٹھاسکیں,neu
واہ خوبصورت,pos
جب یوٹیوب پر مکمل شو اپ لوڈ ہوگا ...؟,neu
ہم 3 بار امارات گئے ہیں ، اور پرواز بہت ہی عمدہ تھی,pos
ہیلو ، براہ کرم میرے پیغام کا جواب دیں,neu
یہ مجموعہ 21 نومبر 2019 کو براہ راست پکڑے گا,neu
ان کی مصنوعات پر ہمیشہ اعتماد برقرار رکھیں,pos
میں سیمسنگ جے 6 کی خریداری کرتا ہوں مجھے یہ موبائل پسند ہے میں سیمسنگ کی بدولت بہت پرجوش ہوں,pos
پاکستان کا بہترین نیٹ ورک اسلام آباد میں ہائی 4 جی اسپیڈ,pos
میں کہوں گا کہ وسط میں دو اضافی بنوں سے چھٹکارا حاصل کروں اور اسے چکن پنبرگر سینڈوچ بناؤ,neu
کاغذ بیگ کف شرم,neg
نیسلے مین کلومیٹر Krta ہو,neu
ایک برا ذائقہ چھوڑ دیتا ہے پام آئل کے لئے جلائی جانے والی آگ کمیونٹیوں ، بارش کے جنگلات ، کرہ ارض کو نقصان پہنچا رہی ہے ، اور ماحولیاتی تبدیلی کو بدتر کررہی ہے اب کھجور کے پام آئل کو کاٹ لو!,neg
اریو وافل شنک واپس آگیا ہے اور اس بار آپ کو اس کی کوشش کرنی ہوگی,pos
میئ دلوا ڈو؟,neu
کیا آپ آج کھل گئے ہیں؟,neu
مجھے صرف 500 ایم بی دیں براہ کرم میں پب کھیلنا چاہتا ہوں,neu
لباس پارٹی,neu
کاش ، ایل وی میرے شہر میں ایک بڑا بوتیک کھول دے,neu
اضافی قیمت کا کھانا کیا ہے؟,neu
برگر اتنا چھوٹا تھا ن فرائز اتنے بدترین تھے,neg
میٹھی لیکن خالی جگہ بوبلی میں برا نہیں,neu
اس 1 میں اس طرح کا سکون محسوس ہوتا ہے,pos
بہت اچھی طرح سے Nestlé کیا,pos
کھیل ہی کھیل میں,neu
نیسلے فروٹ واٹیلز ایڈیشن زبردست ہیں لیکن یہ اضافہ بھی بہت اچھا ہے,pos
تصویروں کے لیک ہونے کی وجہ سے زیادہ جوش و خروش نہیں ہے اس سے نفرت ہے,neg
ٹیلی نار 4 جی کراچی میں دوسرے نیٹ ورک کے 2 جی کی طرح کام کرتا ہے ، اتنا برا ہے,neg
عزیز سانتا ، میں کرسمس کے لئے سبھی چاہتا ہوں گچی ہے,neu
ٹیلی نار کا ماہانہ واٹس ایپ پی کے جی کیسی ایل جی ٹی اے ہا یا کٹی می,neu
واقعی شاندار,pos
کالے رنگ کے سویٹ شرٹ کی تلاش کرتے ہیں آئیے اسے آن لائن چیک کریں !!!,neu
زونگ ڈیوائس مائ انٹرنیٹ pkge کی تفصیلات btain plz,neu
نشاط اچھ نصیب ہے,pos
کمال ہے !! لیکن ..... بہت چھوٹے سائز. اصل گاہک بہت زیادہ بوڑھا ہے - اور اس سے بھی بڑا,pos
متاثر نہیں ہمیشہ پیپسی کو پسند کیا ہے لیکن اس نے مجھے زندگی سے دور کردیا!,neg
میں نے گذشتہ ایک ماہ سے انٹرنیٹ بینکاری کے ساتھ اندراج کرنے کی کوشش کی ہے لیکن ہمیشہ نظام کام نہیں کرتا ہے,neg
فوائد کیا ہیں؟,neu
اگر کوئی اے ٹی ایم کارڈ نہیں آرہا ہے تو ، وہ کیا کرے گا؟,neu
یہ صرف ذائقہ میں بیکار ہے,neg
یہ ایک خاص میدان کے بعد پھنس جاتا ہے,neu
یہ صرف ذائقہ میں بیکار ہے,neg
آسان پیسہ میں سپر ضعیف پلس ڈسکاؤنٹ آفر کہاں ہے؟,neu
4 جی ڈیوائس می پوسٹ پیڈ پیکیج Kb ae ga,neu
فلوریڈا میں اس کی پیش کش کریں اور آپ کا ہرڈی پوپیز مرغی کی طرح نظر آئے گا,neu
زونگ نمبر 1 نیٹ ورک پاکستان,pos
میں برطانیہ کی ویب سائٹ پر جینز کیلئے ٹانگ کی لمبائی کیوں نہیں منتخب کر سکتا ہوں یا میں گاڑھا ہو رہا ہوں؟,neu
اب سست نیٹ ورک,neu
پیپسی آپ بطور کمپنی ناکام ہو رہے ہیں! کاروبار کرنے کا طریقہ جانیں,neu
جاز وائی فائی میں ڈیٹا سم کے الہا ہم آپی ڈوشری جاز سم دال کے انٹرنیٹ استعمال کر سکت ہے ،؟,neu
ہمیشہ کی طرح حیرت انگیز! مجھے زارا سے پیار ہے,pos
پٹرول ہر چھوٹ؟ ؟,neu
اور اس پیش کش کی میعاد ختم ہونے کی تاریخ کیا ہے؟,neu
کیا ہم ایک بار میں ایک کھلونا حاصل کرنے کے لئے 40 خوش کھانے کے بجائے صرف ایک ساتھ 40 کھلونے خرید سکتے ہیں؟,neu
براہ کرم براہ کرم مجھے زونگ بلاک لسٹ کوڈ بتائیں,neu
جعلی میں نے صرف برطانیہ میں نندو کو دیکھا ہے,neg
یہ صرف بہت ہی ناگوار ہے,neg
bkwas ٹرین جاز سب سے بہتر ہے,neg
ہم آپ سیئٹل واشنگٹن میں واقع ہیں,neu
.کیڈ بہت پیارا ہے,pos
کیا ماں اِس آفر کے لے الیجبل ہو پلیز رپلائے,neu
کس طرح کریڈٹ کارڈ حاصل کرنے کے لئے,neu
میرا بچہ لڑکے صرف اپنے خوش کھانے میں کاریں چاہتا ہے ..,neu
میں یہ کیوں دیکھتا رہوں !!!؟,neu
gayyy مارچ !!,neg
آپ کے برانڈ پر کب آف ہوگی؟,neu
پھر بھی اپنی ویب سائٹ پر یا میرے اسکائیورائزڈ اکاؤنٹ کے ذریعہ شکایت درج نہیں کر سکتے,neg
میں رنگین سیاہی کارتوس کے لئے 30 ڈالر سے زیادہ ادا کر چکا ہوں اور رنگین نیلا صرف 8 صفحات پر برقرار رہا!,neu
میں نے چیلنج 3 مکمل کرلیا ہے لیکن RSS100 موصول نہیں ہوا,neg
کیا جیز کیش سے ایزی پیسہ میں منی ٹرانسفر ہو جائے گی ؟,neu
یہ آرڈر کرنے کیلئے ایپس پر کیوں دستیاب نہیں ہے,neu
کریڈٹ کارڈ کی ضرورت ہے,neu
کھیل جاری ہے ... آج رات,neu
Plz مجھے بتائیں کہ کارڈ حاصل کرنے کا طریقہ کار کیا ہے؟,neu
شاندار ..,pos
میں 10 سال کی خواہش پوری کرنے پر فلائی دبئی کو مبارکباد پیش کرتا ہوں,pos
میں نے ہمیشہ ہلاتا ، چائے اور سنڈیا جیتا ... Plz مزید چیزیں شامل کرتا ہوں,neu
وہ لوگ جو زیادہ قیمت کی وجہ سے نہیں خریدتے ہیں وہ اب نئی کہانی کی چھوٹ کے ساتھ آتے ہیں,neg
آخری بار بھی میرے ایوارڈ کا پروگرام نہیں دیکھا,neg
بالآخر ایمپوریم کی کوشش کی,neu
دادی کے جوتے!,neu
یہ ایک پنیر برگر ہے جو گرلڈ پنیر نہیں ہے,neu
ہم آپ کے محبت بھرا ردعمل کو دیکھ کر خوش ہیں!,pos
آن لائن کا کیا وقت ہے؟,neu
چلو مجھے بائو کوہ توفا دو پھر میں تمھین ڈیریملک دون جی,neu
ہمارے معاشرے کو کیا ہو رہا ہے ..صدر واقعی,neu
گاہک کو بے وقوف بنانے کے لئے ان کے دماغی کھیلوں کو دیکھیں,neu
شاندار تصویر,pos
کاسلک نیکول میں غیر پیشہ ور مینیجر,neg
بہترین اشتہار میں سے ایک .. تخلیقی صلاحیتوں پر منحصر ہے,neu
ڈیبٹ این کریڈٹ کارڈوں کے لئے چھوٹ کی فہرست کو کیسے دیکھیں,neu
یہ دیکھ کر دل دہلا دینے والا تھا کہ یہ بند ہورہا ہے لیکن اب ، واپس خوش آمدید,pos
بہت خراب خدمات ، براہ راست چیٹ پر کوئی سہولت فراہم نہیں کی گئی,neg
میں LV تاریخ کی کتاب پڑھ رہا ہوں اور اس کے بارے میں مزید سیکھ رہا ہوں,neu
HBL خیرمقدم کیا اور تعریف کی,pos
"یہ جوتے کب دستیاب ہوں گے؟ انہیں ""کامیگ جلد"" کے طور پر نشان زد کیا گیا تھا اور اب وہ ایپ اسٹور سے چلے گئے ہیں",neu
براڈوے پیزا ذائقہ کے لئے سچی محبت کا اظہار ہے,pos
گینچی اور فینڈی کے علاوہ میرا پسندیدہ برانڈ,pos
میں نہیں جانتا کہ اس کے بارے میں کس کو کچھ تبدیل کرنا چاہئے ، لیکن مشرق کے شمال حصے کی طرح نصف حصے کی طرح یہ نائکی کا واحد اسٹور ہے,neu
پھر بھی رونالڈو میسی کے بعد بہتر ہیں,neu
حیرت انگیز لگ رہی ہے,pos
اسٹور میں چھپنے کے ل new نئی چیزیں اور پھانسی کے ل old پرانی چیزیں اور ڈسپلے ، فروخت کے دنوں میں بھی آپ کا پسندیدہ ہے,pos
الوداع پیزا ہٹ ہمیشہ کے لئے,neg
جاز کیش مجھے جاز ڈیبٹ کارڈ کی ضرورت ہے,neu
مجھے بہت پسند!,pos
آپ مٹھاس کی طرف کیوں جارہے ہیں؟ کیا میک ڈونلڈز میٹھی چیزوں کے لئے ہے؟,neu
یہ معاہدہ ہے برے ایم میکڈونلڈ والون کو کچ پی ٹی اے ہی این ایچ ایم کال پی سی سی نمبر 1 ڈی گراؤنڈ فیصل آباد,neu
ان کھیل کے مقابلہ,neu
جیک اور جونز غسل کرنے والے سوٹ نہ خریدیں ڈائی چلتی ہے اور پول اور آپ کے سارے کپڑے برباد کردیتی ہے,neg
ہمیشہ شاہی برانڈ,pos
اچھا ، سوادج ، اور مزیدار,pos
.یہ پہلے سے تاریخ تک ہے,neu
کیا آپ مجھے Hbl ماسٹر ڈیبٹ کارڈ کی تمام تصاویر بھیج سکتے ہیں؟,neu
میک ڈونلڈز آپ کو سرپرائز دینے جارہا ہے,neu
ایسیو پیسہ کی اچھی خدمات تھیں,pos
حیرت انگیز مجموعہ,pos
ہوم ترسیل مفت؟,neu
قیمتوں کو ہمیشہ ایک ہی رہنا چاہئے,neu
حیرت انگیز فروخت,pos
این ایل پاکستان کیٹرنگ ہوم ٹیکسٹائل اور ملبوسات کے کپڑے کی سب سے بڑی بنائی سہولت ہے,pos
ستان میں 8 مقامات ابھی تک ہندوستان میں کسٹمر سروس کی ضرورت نہیں ہے تو مدد کے لئے کال کریں,neu
یہ نظر تو مجھے ہی ہے! لگتا ہے کہ ہمیں خریداری کرنے کی ضرورت ہے,pos
مزید یہ کہ ہم آپ کے پسندیدہ مضمون کو مماثل اشیاء کے ساتھ رکھنے کے لئے صرف ایک متن کے فاصلے پر ہیں,neu
میں نے یہ قمیض خریدی اور اس پر پرنٹ پہلے دھونے کے بعد سامنے آیا,neu
ان کو معاہدے میں پیری پیری کاٹنے کی ضرورت نہیں ہے,neu
کیا تم برگر کیسی ڈوسری برگر کی خریداری pey avail ہو skta h,neu
میں محبت کرتا ہوں,pos
ایک قوم ایک بینک,pos
واہ بھائی ، مارکیٹنگ کا ایک نیا طریقہ اب آگیا ہے ...,neu
بدلے میں ہم اپنی وردی پر آپ کے برانڈ کی تشہیر کرسکتے ہیں اور بہرحال ہماری مدد کرسکتے ہیں,pos
نیلم کے ذریعہ آنکھ کو پکڑنے والا لباس,pos
ویٹر یونین کے تمام صارفین کے ساتھ سلوک کیا جاتا ہے کیونکہ وہ وہاں خیرات یا کسی اور چیز کے ل for ہیں,neg
بیٹری 5 گھنٹے تک نہیں چلتی ہے,neg
میرے پاس یہ موبائل ہے ، یہ انتہائی بہترین موبائل ہے,pos
اس کا معیار بہترین تھا لیکن جاز کے ساتھ ضم ہونے کے بعد,neu
یہ کامل طریقہ کی طرح لگتا ہے,pos
ماڈل کا سامنا کرنا پڑتا ہے یہ سب واقعتا کہتے ہیں !!,neu
یہ حیرت انگیز کھانا ہے,pos
حیرت انگیز سودا! جاؤ لڑکی حاصل کرو,pos
پ کو مفت خوش کھانا دینا چاہئے,neu
براہ کرم اس پیش کش کے وقت میں اضافہ کریں,pos
کیا ہم آن لائن آرڈر میں کھلونا کا انتخاب کرسکتے ہیں؟,neu
ورچوئل کارڈ کب دستیاب ہوگا,neu
اچھی واپسی جاز,pos
اج ہیلی چالٹی ہین پیکیج مال,neu
450 چپ سیٹ 50000 کے لئے یہ پسند نہیں ہے,neg
اپنے اسٹینڈرز کو بڑھاؤ,neg
مجھے وہ لڑکا پسند نہیں ہے جسے وہ اب کمرشل کے لئے استعمال کررہے ہیں,neg
آج میں اپنے جاز کے کیش اکاؤنٹ سے 50k کھو چکا ہوں ....,neg
ٹیلی نار پر 3 دن کی کال pkg؟,neu
مجھے اس لفظ سے 50٪ تک نفرت ہے,neg
آپ کے آئٹم ہمیشہ اعلی معیار کے ہوتے ہیں,pos
دو رنگوں والے لان ڈوپٹاس میں نئے رنگوں کا انتظار کر رہے ہیں,neu
ڈیل دستیاب ہائ ٹیکس میں شامل ہے ما ہے,neu
اپنی کاپی کے ڈیزائن تبدیل کریں,neu
خوشی ہے کہ آپ اسے پسند کرتے ہیں,pos
ڈیبٹ میں ماسٹر کارڈ ورلڈ کارڈ یا کریڈٹ کارڈ میں ویزا پلاٹینم,neu
پیپسی کمپنی کے لئے اچھ .ی شام,pos
صرف منافع کے بارے میں سوچے بغیر ، کسی کی توقع کے بغیر ، دوسروں کی مدد کے بغیر معاشرے سے وابستہ رہیں,pos
پنڈی اور اسلام آباد کے بیشتر علاقوں میں اس کی تیسری کلاس سروس ہے,neg
MCB ڈیبٹ کارڈ آپ کے ایپ میں قبول نہیں کررہا ہے,neg
بریے مہاربانی اپنا نمبر اور مسال کی تفسیل کے سات ھمین ان باکس میں میں ربوٹا کیجیئے,neu
کھسانی ڈک ایل 9 مامیجہ ڈائل جینز!,neg
عمدہ فیصلہ اور ایک جو واجب الادا ہے,pos
آئی فون سے زارا ایپ کو کیوں حذف کیا گیا؟,neu
حسن دیکھنے والے کی آنکھ میں پوشیدہ ہوتا ہے,pos
جانوروں کے ظلم کی حمایت کرنے اور بچوں کا موٹاپا یقینی بنانے کے لئے آپ کا شکریہ,pos
یہ ہو رہا ہے,neu
ہردیوں کو اب اسے فیملی ریستوراں کے طور پر اشتہار دیکھنا بہت اچھا ہے,pos
ہائے اقرار آپ کوئٹہ میں ہماری مندرجہ ذیل سیمسنگ ہیرو شاپس ملاحظہ کرسکتے ہیں,neu
شکریہ قطر ایئر ویز,pos
کیمیکل ، کیمیکل اور کچھ مزید کیمیکل .....,pos
میں نے دیکھا کہ نائیک نے فلپ کوٹنہو کے لئے ایک کسٹم ماڈل بنایا ہے کیونکہ اسے بھی یہی مسئلہ ہے,neg
یہ دیکھنا اچھا ہے ... اور جو لوگ سفر کرتے ہیں وہ یقینا اس سے لطف اٹھائیں گے,neu
میرے ہلکے لوگوں کے لئے رنگین روشن رنگیاں,pos
شکریہ ، یہ بہت اچھا ہے,pos
یہ کیسا معاملہ ہے؟,neu
کیا آپ براہ کرم وہ کپڑے جو اسٹور میں ہیں آن لائن ڈال سکتے ہیں میں انہیں نہیں دیکھ رہا ہوں,neu
دیرپا طاقت رکھنے والے بچوں کے ساتھ سورج کا جنون جہنم میں جاتا ہے,neg
واحد استعمال شدہ پلاسٹک کی نیسلے جیسی کمپنیاں وکالت کرتی ہیں,neu
گھر کی ترسیل کے لئے دستیاب ہے؟,neu
چیکن کاؤنٹر پر سپروائزر شکایت کرنے کے لئے کہے گا اور ٹیم بغیر کسی جواز کے شکایت کو آسانی سے مسترد کردے گی اب تک کی کوئی بری بات نہیں,neg
یہ فنگر پرنٹ اسکینر بہت سست ہے عام طور پر یہ پہلی دو کوششوں میں پیٹرن سے میل نہیں کھاتا ہے,neg
مجھے یہ نئی پیکیجنگ باکس پیک سے کہیں بہتر ہے,pos
آؤٹ اسٹینڈنگ سروس,pos
افسوسناک ذائقہ یہ صرف وینیلا آئس کریم تھا جس میں مقامی کٹ کیٹ کی منٹ کی مقدار زیادہ تھی,neg
K6 بجلی دستیاب اور قیمت,neu
اب میں اس کو پیسے بھیجتا ہوں تو کیا وہ اہل ہوسکتا ہے؟,neu
میں اعلان کرتا ہوں کہ میری تنخواہ کا نصف حصہ اس صفحے کے ایڈمن کو دینے کا ہے,neu
تباہ شدہ اسٹینس کے ساتھ خوفناک کسٹمر کیئر,neg
rfan شیر کی حیثیت سے زمین پر آیا اور امید کرتا ہے کہ اس کا خاتمہ ہوگا,neu
جے 4 اور جے 6 پلس کی قیمت کم کریں,neu
بی اے ڈی نیٹ ورک,neg
جیتنے کے لئے کس طرح کے طور پر کوئی Vr پہیلی نہیں ہے.,neg
اس مضمون کو حاصل کرنے کے لئے ہمارے اسٹورز پر دوڑیں,neu
میں اپنے جاز کو زونگ پلز ہیلپ میں تبدیل کرنا چاہتا ہوں,neu
جلد ہی ایک بار پھر قطر ایئر ویز کے ساتھ سفر کرنے کے منتظر ہیں,neu
ویسے میں اسے واپس کرنا چاہتا ہوں یا آپ اسے تبدیل کر سکتے ہو,neu
کوئی مجھ سیمسنگ A30 کا بیٹا کیس فون وہ کیا استعمال کیا ہو,neu
بے شک کیا آپ آرڈر دینا چاہتے ہیں؟,neu
